mint,recipient
BjLUMSzevsV4vPiMHwXTG2C3SHCmfTMNC74JsfwV7tUG,8BpA38x5tsfcfQpTk9YB1J9corCGf9ckkcu2SgZ84kE5
AukYHgNXQuCL6vGUjtvpfHVaCUyaLSknhtQZZd5nr8rh,BvubT14SdyL7wPxLg4269D6CieJpG39B9wHVqR1iB4PJ
69XAxqLr5bKKDDfudB71xuW3jMfqdeqKQ3TdqbFAY9Eg,6yx3SWTYG63sUDZ7njRkNAfdV4E22qKTLg13nKyHpd9Z
FM2Gaw3HRZnBMYBuCaPX1uoC2jar6KPZLbNyYUju8QxV,HVZAb8vbEdbogPxvzhURMz4PYfrfdJSYYRxLpEnhj1qq
D9b2CKQSxzHAs1GXYJeYgcr5YwGzcckz5tH2zFWKqvnZ,9e9Phf3XGBHyqX4UeoZvSS2yht159TRAHPzb4BzgkBek
61quJFHz1dNViTyKpEv5MJ2DeJAtAJG7odL8QoTDZRrK,hYnZTuDGwUPwbPE5ei6TrYfzGALQu4DP6UoFWGmYqxL
CQFGcJmRXftN9hUuehsca6PsGjr9rzWQ7nyTRpub471j,C6PVm4Pvf6HoJWUHVFQBnGvxqD8Fb4xDYUouvvpCvMcG
B7BAbbd2tedksibFZtEQNrEmN5tLPDJGGGWAFE1xcuWs,5C5U8gPQhGNfGEM6swuStizPY12eX3E8mA7fGeuWJA77
ASeHVxrkQoJFV6kDj4WuRoAuvEMjGSz4t222kKVUHcg6,EcewHnKDwcytz6aKfKZdX8wPMWdkXSbwC4B9jsxgY7xw
6BPrtg5hviTjUrQRN45FbJPEJHehducfAJASWEpoKaWT,3P54ytfiy4hHWJ8MunBjB89MiDBfGVipgTs2ijfCeHVZ
7ct6FSArRDPoA5nbSgnQrXpwTiRd1bEDEr4XXPaSbUqJ,8efs36pq3RaMqTMz7u2jTWKBtQNJk8W8pkr4Vw24jo4s
JAFEYZ1ngg4CSgWz5XjjTxAc6UiB9ArqN1yg2V3NkYoM,CVER36ZkGJuhFfuvnHvMyS1zRxVkK99mfDE4H6d7FEWi
6sPCEpMvhwLBXvu2zQZ9cqRQCJHNL8GyURYW7fKucf6P,9n4S9SCL5ae9jt6uZ4EgoCtfpvEd4TGgMj67AWqRe9UP
9gxxpgMKmXBg2BMWdAv6d8p7oskffxKYgacf5AguAa8W,D7yCbAgej719vEX9vmn9iHd2cBPmiPRtEDcWh4YJzNyA
5ozyEnGbf2m9G2ck82iVaj873kEuhrP3GMXFkYXcDN8t,3DGp5MQuFdgenjyQJhGzsCr4NXYSM56945rjAxiwpKTB
6xB5CAq4hm3q3VghJ7KcE8ya5tCbaQ7xnhycv1MX6Qbk,2fpmeLYArrJ6Bu9XYUDnPR2vx8yEZGZqmSAX58Y9Xg8A
94DqX25pq7MzxtuoqVMHQDvL9hryCZ1vv9PpJVxSgrRi,F3NAyr8Lm23iqKhLcpezKR5vdAps7WE1AxgG5SExngG6
E7zeKc8JTDGUsWQiBX7WwztTcGxDQFuFqfUHN5TPyqsf,3EmWAtVf8Tf3fTRXN5S9KZ79RA3ueNquDZJXNToiQ4cX